"UserSegment","Profitability(euros)","Rank"
"25-39 M",5548491,1
"Unknown_Age M",3716525,2
"<=24 M",2703482,3
"40-64 M",2205701,4
"25-39 F",328047,5
"<=24 F",301999,6
"40-64 F",160852,7
"Unknown_Age F",76777,8
">=65 M",47671,9
">=65 F",14344,10
